main_type,sign_type,mounting,thickness,illumination,face,returns,trim_cap,raceway_backer,colors_asked,colors_fixed,dims_label,application,side_view_image,package,full_spec,notes
CHANNEL LETTERS,HALO LIT CHANNEL LETTERS,Flush Mount,N/A,"LED (6500K LED modules, 3-yr warranty)",SS/ALUMINUM FACE,"1"" DEEP",,,FACE & RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE : HALO LIT CHANNEL LETTERS 
 LETTER FACE: SS/ALUMINUM FACE 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: STUD MOUNT 
 COLOR SPECS: 
   • FACE & RETURN COLOR: [ASK REP] 
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,HALO LIT CHANNEL LETTERS,"Raceway Mount (2"")",N/A,"LED (6500K LED modules, 3-yr warranty)",SS/ALUMINUM FACE,"1"" DEEP",,,FACE & RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE : HALO LIT CHANNEL LETTERS WITH RACEWAY 
 LETTER FACE: SS/ALUMINUM FACE 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: RACEWAY MOUNT 
 RACEWAY : 2"" DEEP 6"" TALL ALUMINUM RACEWAY 
 COLOR SPECS: 
   • FACE & RETURN COLOR: [ASK REP] 
   • RACEWAY COLOR: [ASK REP] 
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,HALO LIT CHANNEL LETTERS,"Backboard Cabinet (2"")",N/A,"LED (6500K LED modules, 3-yr warranty)",SS/ALUMINUM FACE,"1"" DEEP",,,FACE & RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE : HALO LIT CHANNEL LETTER WITH BACKBOARD 
 LETTER FACE: SS/ALUMINUM FACE 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: BACKER MOUNT 
 BACKER: 2"" DEEP ALUMINUM BACKER 
 COLOR SPECS: 
   • FACE & RETURN COLOR: [ASK REP] 
   • RACEWAY COLOR: [ASK REP] 
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,HALO LIT CHANNEL LETTERS,Flat Aluminum Backer (2.5 mm),N/A,"LED (6500K LED modules, 3-yr warranty)",SS/ALUMINUM FACE,"1"" DEEP",,,FACE & RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE : HALO LIT CHANNEL LETTER WITH FLAT ALUMINUM BACKER 
 LETTER FACE: SS/ALUMINUM FACE 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: BACKER MOUNT 
 BACKER : 2.5MM FLAT ALUMINUM BACKER 
 COLOR SPECS: 
   • FACE & RETURN COLOR: [ASK REP]  
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,HALO LIT CHANNEL LETTERS,Flat ACM Backer (4mm),N/A,"LED (6500K LED modules, 3-yr warranty)",SS/ALUMINUM FACE,"1"" DEEP",,,FACE & RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE : HALO LIT CHANNEL LETTER WITH ACM BACKER 
 LETTER FACE: SS/ALUMINUM FACE 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: BACKER MOUNT 
 BACKER : 4MM FLAT ACM BACKER 
 COLOR SPECS: 
   • FACE & RETURN COLOR: [ASK REP]  
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,HALO LIT CHANNEL LETTERS,Flat Acrylic Backer (8mm),N/A,"LED (6500K LED modules, 3-yr warranty)",SS/ALUMINUM FACE,"1"" DEEP",,,FACE & RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE : HALO LIT CHANNEL LETTER WITH ACRYLIC BACKER 
 LETTER FACE: SS/ALUMINUM FACE 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: BACKER MOUNT 
 BACKER : 8MM FLAT ACRYLIC BACKER 
 COLOR SPECS: 
   • FACE & RETURN COLOR: [ASK REP]  
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,FACE LIT CHANNEL LETTERS,Flush Mount,N/A,"LED (6500K LED modules, 3-yr warranty)",ACRYLIC FACE WITH VINYL APPLICATION,"3"" DEEP",METALLIC TRIM CAP,RACEWAY: N/A,FACE COLOR | RETURN & TRIM COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE: FACE LIT CHANNEL LETTERS 
 FACE: ACRYLIC FACE WITH VINYL APPLICATION 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 TRIM CAP: METALLIC/STANDARD TRIM CAP 
 ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: FLUSH MOUNT 
 COLOR SPECS: 
   • FACE COLOR: [ASK REP] 
   • RETURN & TRIM COLOR: [ASK REP] 
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,FACE LIT CHANNEL LETTERS,"Raceway Mount (2"")",N/A,"LED (6500K LED modules, 3-yr warranty)",ACRYLIC FACE WITH VINYL APPLICATION,"3"" DEEP",METALLIC TRIM CAP,RACEWAY: N/A,FACE COLOR | RETURN & TRIM COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE: FACE LIT CHANNEL LETTERS WITH RACEWAY 
 LETTER FACE: ACRYLIC FACE WITH VINYL APPLICATION 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 LETTER RETURNS: [DEPTH]"" 
 TRIM CAP: METALLIC/STANDARD TRIM CAP 
 ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: RACEWAY MOUNT 
 RACEWAY: 2"" DEEP, 6"" TALL ALUMINUM RACEWAY 
 COLOR SPECS: 
   • FACE COLOR: [ASK REP] 
   • RETURN & TRIM COLOR: [ASK REP] 
   • RACEWAY COLOR: [ASK REP]                                     
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,FACE LIT CHANNEL LETTERS,"Backboard Cabinet (2"")",N/A,"LED (6500K LED modules, 3-yr warranty)",ACRYLIC FACE WITH VINYL APPLICATION,"3"" DEEP",METALLIC TRIM CAP,RACEWAY: N/A,FACE COLOR | RETURN & TRIM COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE: FACE LIT CHANNEL LETTERS WITH BACKBOARD 
 LETTER FACE: ACRYLIC FACE WITH VINYL APPLICATION 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 LETTER RETURNS: [DEPTH]"" 
 TRIM CAP: METALLIC/STANDARD TRIM CAP 
 ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: BACKER MOUNT 
 BACKER: 2"" DEEP ALUMINUM BACKER 
 COLOR SPECS: 
   • FACE COLOR: [ASK REP] 
   • RETURN & TRIM COLOR: [ASK REP] 
   • BACKER COLOR: [ASK REP] 
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,FACE LIT CHANNEL LETTERS,Flat Aluminum Backer (2.5 mm),N/A,"LED (6500K LED modules, 3-yr warranty)",ACRYLIC FACE WITH VINYL APPLICATION,"3"" DEEP",METALLIC TRIM CAP,RACEWAY: N/A,FACE COLOR | RETURN & TRIM COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE: FACE LIT CHANNEL LETTERS WITH FLAT ALUMINUM BACKER 
 FACE: ACRYLIC FACE WITH VINYL APPLICATION 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 TRIM CAP: METALLIC/STANDARD TRIM CAP 
 ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: BACKER MOUNT 
 BACKER: 2.5MM FLAT ALUMINUM BACKER 
 COLOR SPECS: 
   • FACE COLOR: [ASK REP] 
   • RETURN & TRIM COLOR: [ASK REP] 
   • BACKER COLOR: [ASK REP] 
 APPLICATION: [APPLICATION]",
