,,,,,,,,,,
,,,Sign Type,Trim Cap,Proposal Template,Thickness,Mounting,Specs,Side View,Package Includes
,1,ILLUMINATED CHANNEL LETTERS,HALO LIT CHANNEL LETTERS,N/A,A,N/A,Stud Mount ,"SIGN TYPE : HALO LIT CHANNEL LETTERS
LETTER FACE: SS/ALUMINUM FACE
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: STUD MOUNT
COLOR SPECS:
  • FACE & RETURN COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,A
,,,,,,,"Raceway Mount (2"")","""SIGN TYPE : HALO LIT CHANNEL LETTERS WITH RACEWAY
LETTER FACE: SS/ALUMINUM FACE
OVERALL DIMENSIONS: [HEIGHT]"""" X [WIDTH]""""
RETURNS: [DEPTH]""""
ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: RACEWAY MOUNT
RACEWAY/BACKER: 2"""" DEEP 6"""" TALL ALUMINUM RACEWAY
COLOR SPECS:
  • FACE & RETURN COLOR: [ASK REP]
  • RACEWAY COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]""

•⁠  ⁠POWER SUPPLY TO BE INSIDE RACEWAY, WITH ON/OFF SWITCH INSTALLED",TRUE,A
,,,,,,,"Backboard Cabinet (2"")","SIGN TYPE : HALO LIT CHANNEL LETTER WITH BACKBOARD
LETTER FACE: SS/ALUMINUM FACE
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: BACKER MOUNT
BACKER: 2"" DEEP ALUMINUM BACKER
COLOR SPECS:
  • FACE & RETURN COLOR: [ASK REP]
  • RACEWAY COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]

•⁠  ⁠POWER SUPPLY TO BE INSIDE BACKER, WITH ON/OFF SWITCH INSTALLED",TRUE,A
,,,,,,,Flat Aluminum Backer (2.5 mm),"SIGN TYPE : HALO LIT CHANNEL LETTER WITH FLAT ALUMINUM BACKER
LETTER FACE: SS/ALUMINUM FACE
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: BACKER MOUNT
BACKER : 2.5MM FLAT ALUMINUM BACKER
COLOR SPECS:
  • FACE & RETURN COLOR: [ASK REP] 
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,A
,,,,,,,Flat ACM Backer (4mm),"SIGN TYPE : HALO LIT CHANNEL LETTER WITH ACM BACKER
LETTER FACE: SS/ALUMINUM FACE
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: BACKER MOUNT
BACKER : 4MM FLAT ACM BACKER
COLOR SPECS:
  • FACE & RETURN COLOR: [ASK REP] 
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,A
,,,,,,,Flat Acrylic Backer (8mm),"SIGN TYPE : HALO LIT CHANNEL LETTER WITH ACRYLIC BACKER
LETTER FACE: SS/ALUMINUM FACE
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: BACKER MOUNT
BACKER : 8MM FLAT ACRYLIC BACKER
COLOR SPECS:
  • FACE & RETURN COLOR: [ASK REP] 
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,A
,,,FACE LIT CHANNEL LETTERS,WITH TRIM,,,Flush Mount,"SIGN TYPE: FACE LIT CHANNEL LETTERS
FACE: ACRYLIC FACE WITH VINYL APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
TRIM CAP: METALLIC/STANDARD TRIM CAP
ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: FLUSH MOUNT
COLOR SPECS:
  • FACE COLOR: [ASK REP]
  • RETURN & TRIM COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,A
,,,,,,,"Raceway Mount (2"")","SIGN TYPE: FACE LIT CHANNEL LETTERS WITH RACEWAY
LETTER FACE: ACRYLIC FACE WITH VINYL APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
LETTER RETURNS: [DEPTH]""
TRIM CAP: METALLIC/STANDARD TRIM CAP
ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: RACEWAY MOUNT
RACEWAY/BACKER: 2"" DEEP, 6"" TALL ALUMINUM RACEWAY
COLOR SPECS:
  • FACE COLOR: [ASK REP]
  • RETURN & TRIM COLOR: [ASK REP]
  • RACEWAY COLOR: [ASK REP]                                    
FINISH: SATIN
APPLICATION: [APPLICATION]

•⁠  ⁠POWER SUPPLY TO BE INSIDE RACEWAY, WITH ON/OFF SWITCH INSTALLED",TRUE,A
,,,,,,,"Backboard Cabinet (2"")","SIGN TYPE: FACE LIT CHANNEL LETTERS WITH BACKBOARD
LETTER FACE: ACRYLIC FACE WITH VINYL APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
LETTER RETURNS: [DEPTH]""
TRIM CAP: METALLIC/STANDARD TRIM CAP
ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: BACKER MOUNT
BACKER: 2"" DEEP ALUMINUM BACKER
COLOR SPECS:
  • FACE COLOR: [ASK REP]
  • RETURN & TRIM COLOR: [ASK REP]
  • BACKER COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]

•⁠  ⁠POWER SUPPLY TO BE INSIDE BACKER, WITH ON/OFF SWITCH INSTALLED",TRUE,A
,,,,,,,Flat Aluminum Backer (2.5 mm),"SIGN TYPE: FACE LIT CHANNEL LETTERS WITH FLAT ALUMINUM BACKER
FACE: ACRYLIC FACE WITH VINYL APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]""
TRIM CAP: METALLIC/STANDARD TRIM CAP
ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY)
MOUNTING: BACKER MOUNT
BACKER: 2.5MM FLAT ALUMINUM BACKER
COLOR SPECS:
  • FACE COLOR: [ASK REP]
  • RETURN & TRIM COLOR: [ASK REP]
  • BACKER COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,A
